"model","bin","mean_predicted","observed_departure","transitions"
"Fixed Stage-Spell SPAOM",1,0.315910132413361,0.314009661835749,207
"Fixed Stage-Spell SPAOM",2,0.403367672511228,0.375609756097561,205
"Fixed Stage-Spell SPAOM",3,0.468820082785081,0.485294117647059,204
"Fixed Stage-Spell SPAOM",4,0.503265051708477,0.543689320388349,206
"Fixed Stage-Spell SPAOM",5,0.586745018100005,0.700980392156863,204
"Fixed Stage-Spell SPAOM",6,0.60051069927374,0.590243902439024,205
"Fixed Stage-Spell SPAOM",7,0.612677506483369,0.502439024390244,205
"Fixed Stage-Spell SPAOM",8,0.624884529228534,0.607142857142857,224
"Fixed Stage-Spell SPAOM",9,0.658250856063194,0.666666666666667,186
"Fixed Stage-Spell SPAOM",10,0.775746267569663,0.741463414634146,205
"Fixed homogeneous",1,0.502267771181962,0.660377358490566,212
"Fixed homogeneous",2,0.512760651291926,0.638190954773869,199
"Fixed homogeneous",3,0.518109437977338,0.526570048309179,207
"Fixed homogeneous",4,0.522794964985175,0.492610837438424,203
"Fixed homogeneous",5,0.52769822239723,0.502415458937198,207
"Fixed homogeneous",6,0.533364205135658,0.529126213592233,206
"Fixed homogeneous",7,0.541007761980617,0.410788381742739,241
"Fixed homogeneous",8,0.565752866532283,0.497109826589595,173
"Fixed homogeneous",9,0.583596435986049,0.601010101010101,198
"Fixed homogeneous",10,0.753973696161137,0.678048780487805,205
"Frailty Stage-Spell SPAOM",1,0.327712355605775,0.315533980582524,206
"Frailty Stage-Spell SPAOM",2,0.410904724633894,0.380487804878049,205
"Frailty Stage-Spell SPAOM",3,0.469700827480196,0.482926829268293,205
"Frailty Stage-Spell SPAOM",4,0.50599749027496,0.541062801932367,207
"Frailty Stage-Spell SPAOM",5,0.574431263736039,0.660098522167488,203
"Frailty Stage-Spell SPAOM",6,0.591432576652664,0.634146341463415,205
"Frailty Stage-Spell SPAOM",7,0.605292249446715,0.509615384615385,208
"Frailty Stage-Spell SPAOM",8,0.618325635035511,0.598214285714286,224
"Frailty Stage-Spell SPAOM",9,0.647838616630641,0.659459459459459,185
"Frailty Stage-Spell SPAOM",10,0.770656721618053,0.748768472906404,203
"Frailty homogeneous",1,0.491306475972768,0.660194174757282,206
"Frailty homogeneous",2,0.506354746018074,0.413953488372093,215
"Frailty homogeneous",3,0.522274175591905,0.733333333333333,195
"Frailty homogeneous",4,0.529359234146049,0.444444444444444,207
"Frailty homogeneous",5,0.53630455223685,0.526570048309179,207
"Frailty homogeneous",6,0.541124630798689,0.483412322274882,211
"Frailty homogeneous",7,0.547914413950863,0.50462962962963,216
"Frailty homogeneous",8,0.561975162911627,0.497297297297297,185
"Frailty homogeneous",9,0.576967666492361,0.590308370044053,227
"Frailty homogeneous",10,0.760941590676182,0.692307692307692,182
"Frailty spline spell-age",1,0.314809546155058,0.315533980582524,206
"Frailty spline spell-age",2,0.378222183031912,0.368932038834951,206
"Frailty spline spell-age",3,0.49758279700116,0.48780487804878,205
"Frailty spline spell-age",4,0.546294415497251,0.55609756097561,205
"Frailty spline spell-age",5,0.575519946254534,0.666666666666667,204
"Frailty spline spell-age",6,0.5862631412016,0.608695652173913,207
"Frailty spline spell-age",7,0.599208173002842,0.522167487684729,203
"Frailty spline spell-age",8,0.612743176475067,0.593886462882096,229
"Frailty spline spell-age",9,0.643380854232624,0.655913978494624,186
"Frailty spline spell-age",10,0.771542221016016,0.755,200
