"scenario_id","baseline_design","n_processes","mean_length","beta_true","scenario_seed"
1,"common",100,8,0,20360714
2,"common",100,8,0.25,20460714
3,"common",100,8,0.52,20560714
4,"common",100,8,0.8,20660714
5,"common",100,12,0,20760714
6,"common",100,12,0.25,20860714
7,"common",100,12,0.52,20960714
8,"common",100,12,0.8,21060714
9,"common",100,20,0,21160714
10,"common",100,20,0.25,21260714
11,"common",100,20,0.52,21360714
12,"common",100,20,0.8,21460714
13,"common",184,8,0,21560714
14,"common",184,8,0.25,21660714
15,"common",184,8,0.52,21760714
16,"common",184,8,0.8,21860714
17,"common",184,12,0,21960714
18,"common",184,12,0.25,22060714
19,"common",184,12,0.52,22160714
20,"common",184,12,0.8,22260714
21,"common",184,20,0,22360714
22,"common",184,20,0.25,22460714
23,"common",184,20,0.52,22560714
24,"common",184,20,0.8,22660714
25,"common",300,8,0,22760714
26,"common",300,8,0.25,22860714
27,"common",300,8,0.52,22960714
28,"common",300,8,0.8,23060714
29,"common",300,12,0,23160714
30,"common",300,12,0.25,23260714
31,"common",300,12,0.52,23360714
32,"common",300,12,0.8,23460714
33,"common",300,20,0,23560714
34,"common",300,20,0.25,23660714
35,"common",300,20,0.52,23760714
36,"common",300,20,0.8,23860714
37,"common",500,8,0,23960714
38,"common",500,8,0.25,24060714
39,"common",500,8,0.52,24160714
40,"common",500,8,0.8,24260714
41,"common",500,12,0,24360714
42,"common",500,12,0.25,24460714
43,"common",500,12,0.52,24560714
44,"common",500,12,0.8,24660714
45,"common",500,20,0,24760714
46,"common",500,20,0.25,24860714
47,"common",500,20,0.52,24960714
48,"common",500,20,0.8,25060714
49,"unequal",100,8,0,25160714
50,"unequal",100,8,0.25,25260714
51,"unequal",100,8,0.52,25360714
52,"unequal",100,8,0.8,25460714
53,"unequal",100,12,0,25560714
54,"unequal",100,12,0.25,25660714
55,"unequal",100,12,0.52,25760714
56,"unequal",100,12,0.8,25860714
57,"unequal",100,20,0,25960714
58,"unequal",100,20,0.25,26060714
59,"unequal",100,20,0.52,26160714
60,"unequal",100,20,0.8,26260714
61,"unequal",184,8,0,26360714
62,"unequal",184,8,0.25,26460714
63,"unequal",184,8,0.52,26560714
64,"unequal",184,8,0.8,26660714
65,"unequal",184,12,0,26760714
66,"unequal",184,12,0.25,26860714
67,"unequal",184,12,0.52,26960714
68,"unequal",184,12,0.8,27060714
69,"unequal",184,20,0,27160714
70,"unequal",184,20,0.25,27260714
71,"unequal",184,20,0.52,27360714
72,"unequal",184,20,0.8,27460714
73,"unequal",300,8,0,27560714
74,"unequal",300,8,0.25,27660714
75,"unequal",300,8,0.52,27760714
76,"unequal",300,8,0.8,27860714
77,"unequal",300,12,0,27960714
78,"unequal",300,12,0.25,28060714
79,"unequal",300,12,0.52,28160714
80,"unequal",300,12,0.8,28260714
81,"unequal",300,20,0,28360714
82,"unequal",300,20,0.25,28460714
83,"unequal",300,20,0.52,28560714
84,"unequal",300,20,0.8,28660714
85,"unequal",500,8,0,28760714
86,"unequal",500,8,0.25,28860714
87,"unequal",500,8,0.52,28960714
88,"unequal",500,8,0.8,29060714
89,"unequal",500,12,0,29160714
90,"unequal",500,12,0.25,29260714
91,"unequal",500,12,0.52,29360714
92,"unequal",500,12,0.8,29460714
93,"unequal",500,20,0,29560714
94,"unequal",500,20,0.25,29660714
95,"unequal",500,20,0.52,29760714
96,"unequal",500,20,0.8,29860714
