"baseline_design","n_processes","mean_length","beta_true","successful_replications","mean_beta_hat","bias_beta","rmse_beta","coverage_beta","boundary_rate","mean_training_transitions"
"common",100,8,0,300,0.0318352594160546,0.0318352594160546,0.0630865610966922,0.99,0.596666666666667,801.146666666667
"common",100,8,0.25,300,0.212741346436463,-0.0372586535635372,0.114058618193376,0.943333333333333,0.0266666666666667,799.796666666667
"common",100,8,0.52,300,0.502416903908999,-0.0175830960910007,0.107168621873361,0.953333333333333,0,800.726666666667
"common",100,8,0.8,300,0.783278572047603,-0.016721427952397,0.106940003642441,0.963333333333333,0,797.78
"common",100,12,0,300,0.0299827423924926,0.0299827423924926,0.0598219838941893,0.98,0.6,1198.76666666667
"common",100,12,0.25,300,0.229170504438711,-0.0208294955612893,0.0933217249239151,0.94,0.0166666666666667,1200.90666666667
"common",100,12,0.52,300,0.50265804198879,-0.0173419580112101,0.0869817667876154,0.926666666666667,0,1201.07
"common",100,12,0.8,300,0.781126706063765,-0.0188732939362354,0.087391037253314,0.936666666666667,0,1196.03666666667
"common",100,20,0,300,0.0203891359479889,0.0203891359479889,0.0403737677492766,0.98,0.6,2001.43
"common",100,20,0.25,300,0.237761512266787,-0.0122384877332133,0.0698708761120254,0.943333333333333,0,1998.84
"common",100,20,0.52,300,0.509792178814121,-0.0102078211858792,0.0596393353108705,0.946666666666667,0,1999.62
"common",100,20,0.8,300,0.785243024184688,-0.0147569758153123,0.0603361484758556,0.943333333333333,0,2002.83
"common",184,8,0,300,0.0242464485240684,0.0242464485240684,0.0471247902262587,0.986666666666667,0.586666666666667,1473.98666666667
"common",184,8,0.25,300,0.234810078927587,-0.0151899210724128,0.0831084618657174,0.936666666666667,0,1473.32
"common",184,8,0.52,300,0.506139511992505,-0.0138604880074947,0.0819696129042729,0.953333333333333,0,1474.07
"common",184,8,0.8,300,0.786091915721081,-0.0139080842789193,0.0756100924830193,0.953333333333333,0,1472.09666666667
"common",184,12,0,300,0.0208942061886251,0.0208942061886251,0.0413029236686909,0.986666666666667,0.586666666666667,2206.51666666667
"common",184,12,0.25,300,0.240859598561838,-0.00914040143816248,0.0626295368049897,0.96,0,2208.57
"common",184,12,0.52,300,0.510254305676876,-0.0097456943231244,0.0601469881834307,0.95,0,2210.34666666667
"common",184,12,0.8,300,0.790712666898426,-0.00928733310157431,0.0590659935312428,0.953333333333333,0,2206.62
"common",184,20,0,300,0.0164171367628036,0.0164171367628036,0.0291482706502081,0.99,0.533333333333333,3675.94
"common",184,20,0.25,300,0.245756883860921,-0.0042431161390791,0.0493311449173433,0.946666666666667,0,3680.75666666667
"common",184,20,0.52,300,0.515015018259247,-0.00498498174075292,0.0436636534236479,0.956666666666667,0,3678.21
"common",184,20,0.8,300,0.795184395872867,-0.00481560412713286,0.0423083311431758,0.946666666666667,0,3677.48666666667
"common",300,8,0,300,0.0220395192827826,0.0220395192827826,0.0409701021226391,0.99,0.536666666666667,2399.34666666667
"common",300,8,0.25,300,0.244392704013624,-0.00560729598637578,0.0674384845844656,0.943333333333333,0,2398.81333333333
"common",300,8,0.52,300,0.507990048321978,-0.012009951678022,0.0655060984702065,0.936666666666667,0,2400.19333333333
"common",300,8,0.8,300,0.78993708016445,-0.0100629198355499,0.0621390384811679,0.95,0,2400.02666666667
"common",300,12,0,300,0.0182995449588254,0.0182995449588254,0.0337173311352534,0.98,0.53,3601.05666666667
"common",300,12,0.25,300,0.244630656909171,-0.00536934309082923,0.0493749827893268,0.963333333333333,0,3602.92333333333
"common",300,12,0.52,300,0.510879039372118,-0.00912096062788245,0.0491176623195204,0.936666666666667,0,3601.41
"common",300,12,0.8,300,0.79307588543353,-0.00692411456647021,0.0533628363021937,0.92,0,3606.23
"common",300,20,0,300,0.0128886356735287,0.0128886356735287,0.0245090767604849,0.986666666666667,0.553333333333333,6000.41666666667
"common",300,20,0.25,300,0.243882649852493,-0.00611735014750665,0.0385635069113026,0.94,0,5993.17666666667
"common",300,20,0.52,300,0.515440034331817,-0.00455996566818279,0.032676147257277,0.963333333333333,0,6008.62666666667
"common",300,20,0.8,300,0.798636219014797,-0.00136378098520306,0.0350899669838463,0.943333333333333,0,5999.43
"common",500,8,0,300,0.0160421796322733,0.0160421796322733,0.0331338148123982,0.98,0.616666666666667,4001.48666666667
"common",500,8,0.25,300,0.245748470339974,-0.00425152966002639,0.0505027496105297,0.95,0,3998.88333333333
"common",500,8,0.52,300,0.514761807874664,-0.00523819212533566,0.0480951423805423,0.933333333333333,0,3997.2
"common",500,8,0.8,300,0.795651056374872,-0.00434894362512798,0.0451704135073319,0.97,0,4000.78
"common",500,12,0,300,0.0129605503001943,0.0129605503001943,0.0241235406060026,0.986666666666667,0.546666666666667,5999.57333333333
"common",500,12,0.25,300,0.246298096514218,-0.00370190348578218,0.0369222484562946,0.97,0,6004.53666666667
"common",500,12,0.52,300,0.521512778594213,0.00151277859421247,0.0354394307386153,0.953333333333333,0,5996.53666666667
"common",500,12,0.8,300,0.79780132492882,-0.00219867507118029,0.0345103567693464,0.966666666666667,0,5994.67333333333
"common",500,20,0,300,0.0117353578319309,0.0117353578319309,0.0206446890778675,0.983333333333333,0.526666666666667,9997.41333333333
"common",500,20,0.25,300,0.245876999732416,-0.00412300026758449,0.0299688727666621,0.94,0,9994.15666666667
"common",500,20,0.52,300,0.519158126472063,-0.000841873527937168,0.0272904703952016,0.943333333333333,0,10000.0166666667
"common",500,20,0.8,300,0.799002777865793,-0.000997222134206951,0.025158494430454,0.956666666666667,0,9989.75666666667
"unequal",100,8,0,300,0.028993686528806,0.028993686528806,0.0581898169421068,0.996666666666667,0.616666666666667,801.366666666667
"unequal",100,8,0.25,300,0.218462311457545,-0.0315376885424548,0.107007149387837,0.92,0.02,801.713333333333
