"baseline_design","n_processes","mean_length","beta_true","comparator","metric","mean_advantage","standard_error","ci_lower","ci_upper","win_rate"
"common",100,8,0,"Dual-clock model","departure_logloss",0.00146682024871465,0.00014659474339333,0.00117949455166372,0.00175414594576557,0.746666666666667
"common",100,8,0,"Dual-clock model","departure_brier",0.000574072436570275,5.66205217098703e-05,0.00046309621401893,0.000685048659121621,0.753333333333333
"common",100,8,0,"Dual-clock model","full_logloss",0.00146682024871464,0.000146594743393331,0.00117949455166372,0.00175414594576557,0.746666666666667
"common",100,8,0,"Dual-clock model","full_brier",0.000732068293729052,7.44360960362909e-05,0.000586173545497922,0.000877963041960182,0.73
"unequal",100,8,0,"Dual-clock model","departure_logloss",0.00144039148560023,0.000174616511975629,0.00109814312212799,0.00178263984907246,0.69
"unequal",100,8,0,"Dual-clock model","departure_brier",0.000567634092626247,6.25578464450098e-05,0.000445020713594028,0.000690247471658466,0.693333333333333
"unequal",100,8,0,"Dual-clock model","full_logloss",0.00144039148560023,0.000174616511975628,0.001098143122128,0.00178263984907246,0.69
"unequal",100,8,0,"Dual-clock model","full_brier",0.000728945718772276,7.98038522195927e-05,0.000572530168421874,0.000885361269122678,0.713333333333333
"common",184,8,0,"Dual-clock model","departure_logloss",0.000735906598730753,6.35019937619721e-05,0.000611442690957288,0.000860370506504219,0.74
"common",184,8,0,"Dual-clock model","departure_brier",0.000302484939793028,2.63409738470874e-05,0.000250856631052737,0.000354113248533319,0.746666666666667
"common",184,8,0,"Dual-clock model","full_logloss",0.00073590659873075,6.35019937619718e-05,0.000611442690957286,0.000860370506504215,0.74
"common",184,8,0,"Dual-clock model","full_brier",0.000380482135455296,3.30533963427604e-05,0.000315697478623486,0.000445266792287106,0.736666666666667
"unequal",184,8,0,"Dual-clock model","departure_logloss",0.000657882219085558,7.3682610732876e-05,0.000513464302049121,0.000802300136121995,0.74
"unequal",184,8,0,"Dual-clock model","departure_brier",0.000290343221871663,3.19200458420104e-05,0.000227779932021322,0.000352906511722003,0.73
"unequal",184,8,0,"Dual-clock model","full_logloss",0.000657882219085563,7.36826107328761e-05,0.000513464302049126,0.000802300136122,0.74
"unequal",184,8,0,"Dual-clock model","full_brier",0.000368146959157034,4.17181901985599e-05,0.000286379306367857,0.000449914611946212,0.72
"common",300,8,0,"Dual-clock model","departure_logloss",0.000328548248882192,3.56387230612249e-05,0.000258696351682191,0.000398400146082192,0.693333333333333
"common",300,8,0,"Dual-clock model","departure_brier",0.000135355717276451,1.48029096607447e-05,0.000106342014341392,0.000164369420211511,0.69
"common",300,8,0,"Dual-clock model","full_logloss",0.000328548248882192,3.56387230612249e-05,0.000258696351682192,0.000398400146082193,0.693333333333333
"common",300,8,0,"Dual-clock model","full_brier",0.00017730454127866,1.92150038293804e-05,0.000139643133773074,0.000214965948784246,0.696666666666667
"unequal",300,8,0,"Dual-clock model","departure_logloss",0.000352742286387369,3.87138199534528e-05,0.000276863199278601,0.000428621373496136,0.693333333333333
"unequal",300,8,0,"Dual-clock model","departure_brier",0.000157862856470541,1.77068266639457e-05,0.000123157476209208,0.000192568236731875,0.676666666666667
"unequal",300,8,0,"Dual-clock model","full_logloss",0.000352742286387367,3.8713819953453e-05,0.000276863199278599,0.000428621373496135,0.693333333333333
"unequal",300,8,0,"Dual-clock model","full_brier",0.000203860873963975,2.27163470437552e-05,0.000159336833758215,0.000248384914169736,0.683333333333333
